Title,Artist,Tags
99 Red Balloons,Nena,"80s, 2000s"
All Star,Smash Mouth,"Pop, Rock, 90s"
Bat Out Of Hell,Meat Loaf,Bangers
Better Be Home Soon,Crowded House,90s
Boys of Summer,Don Henley,"Rock, 80s, 2000s"
California Gurls,Katy Perry,"Pop, 2000s"
Can't Stop The Feeling,Justin Timberlake,
Can't Take My Eyes Off You,Frankie Valli and the Four Seasons,
Canticle of the Turning,Christmas,
Chim Chimeny,Disney,
Colors of the Wind,Disney,
Come When I Call,John Mayer Trio,
Dear Theodosia,Hamilton,"Duet, Showtunes"
Dizzy,Vic Reeves and the Wonderstuff,
Don't Be Cruel,Elvis Presley,
Don't Know Why,Norah Jones,"Ballad, 2000s"
Don't Look Back In Anger,Oasis,
Don't Lose Sight,Lawrence,
Don't Send Me Away,Dawes,
Don't Speak,No Doubt,90s
Don't Stop Believing,Journey,Rock
Don't Stop Me Now,Queen,
Don't Tell Our Friends About Me,Blake Mills,
Don't You Want Me,Human League,
Dream a Little Dream of Me,Mama Cass,
Drivers Licence,Olivia Rodrigo,Bangers
Fast Car,Tracey Chapman,
Frozen Heart,Disney,
Gimme Some Lovin',Spencer Davis Group,
"Gimme Your Fire, Gimme Your Rain",The Paper Kites,Aussie
Girls Just Wanna Have Fun,Cindy Lauper,"Pop, 80s"
Good Love Is On The Way,John Mayer Trio,
Gravity,John Mayer Trio,
Guns and Ships,Hamilton,Showtunes
Helpless,Hamilton,Showtunes
Higher and Higher,Otis Redding,Soul
Highway to the Danger Zone,Kenny Loggins,80s
Home Again,Michael Kawinuka,
Hooked on a Feeling,Blue Suede,
I Love You Always Forever,Donna Lewis,
I Will Always Love You,Dolly Parton,
I'll Make a Man Out of you,Disney,90s
I'm Getting Ready,Michael Kiwanuka,
I'm Gonna Find Another You,John Mayer,
I'm On Fire,Bruce Springsteen,
Ice Ice Baby (Acoustic),Vanilla Ice,
If I Ain't Got You (Scary Pockets version),Scary Pockets,
If I Had a Million Dollars,Barenaked Ladies,
If Love Were A Plane,Brad Paisley,
If You Go Down (I'm Going Down Too),Kelsea Ballerini,"Country, 2020s"
Knocking on Heaven's Door,Bob Dylan,
Kung Foo Fighting,Carl Douglass,
Life is a Highway,Rascall Flats; Tom Cochrane,90s
Life's a Happy Song,Bret McKenzie,
Living on a Prayer,Bon Jovi,"Rock, 80s"
Lowrider,War,
Only Us,Dear Evan Hansen,"Duet, Showtunes"
"Play That Funky Music, White Boy",Wild Cherry,
Pure Imagination,Gene Wilder,Showtunes
Revolution No.1,The Beatles,
Rock and Roll Music,The Beatles,
Rock This Town,The Stray Cats,
Rockin Robin,Bobby Day,"50s, 70s"
Satisfied,Hamilton,
Shake a Tailfeather,Ray Charles,Soul
She,Ben Abraham,Aussie
Shower the People,Justin Timberlake,
Simply the Best,Tina Turner,
Something Stupid,Frank and Nancy Sinatra,"Duet, 60s"
Stop! The Love You Save,Jackson 5,Soul
Surface Pressure,Disney,
The Heartburn Song (It's Gonna Be Alright),Lawrence,
The Lion Sleeps Tonight,Harry Belafonte,
The Story,Brandi Carlisle,Country
Time Warp,Rocky Horror Picture Show,"Showtunes, 80s, Halloween"
Title,Artist,Tags
Together,Tom Tuena,Aussie
"Tonight, You Belong to Me",Steve Martin,
Twist and Shout,The Beatles,
Under the Sea,Disney,Showtunes
Up on the Roof,Justin Timberlake; The Drifters,
Wait For It,Hamilton,Showtunes
We Belong Together,Richie Valens,50s
We Don't Talk About Bruno,Disney,
What's Up (What's Going On),4 Non Blondes,"Bangers, 90s"
Wherever Is Your Heart I Call Home,Brandi Carlisle,Country
Whose Bed Have Your Boots Been Under,Shania Twain,90s
XO,Beyoncé,
You Gotta Be,Des'ree,
You Keep Me Hanging On,Vanilla Fudge,
You'll Be Back,Hamilton,Showtunes
You're Still The One,Shania Twain,"Country, 90s"
You're The One That I Want,Grease,Showtunes
You're Welcome,Disney,
You've Got To Hide Your Love Away,The Beatles,